t,r,g,b
2.8463313383685125,182.07347457675178,180.16510893012568,181.282865260952
2.879817589408142,182.036066550448,180.14296467699666,181.2719591905564
2.9133038404477714,182.10104514732365,180.15411524800265,181.28620077020463
2.9467900914874012,182.03189751533222,180.14137414273176,181.25709951425358
2.9802763425270307,182.06643975120423,180.132084675616,181.24186375778703
3.01376259356666,181.83933001542857,180.05647833324898,181.34544645547655
3.04724884460629,181.82285815407656,180.0365137905157,181.3231029322772
3.0807350956459194,181.89483816539405,180.11370590062083,181.3934646621094
3.114221346685549,181.87973848632203,180.0893536686869,181.37280462899088
3.1477075977251783,181.83515035646008,180.05757113967945,181.32898915940393
3.181193848764808,181.9878324214537,180.1916194508998,181.4510426125498
3.2146800998044376,181.94447241190124,180.13940407539542,181.4190100551028
3.248166350844067,181.96988945297267,180.12617824492816,181.39130421725304
3.281652601883697,181.8805412394949,180.03247374003843,181.29229061451252
3.3151388529233263,181.8157981607101,179.94886422457373,181.20878380130503
3.3486251039629558,181.7278687495825,179.86707506424386,181.12359780052122
3.382111355002585,181.63850971202453,179.79047417045524,181.03612420281826
3.415597606042215,181.61005530071319,179.74807571765822,180.9881515467768
3.4490838570818445,181.66116745107198,179.7558720429864,180.9693191251081
3.482570108121474,181.6993546749525,179.7659430642047,180.97755164106698
3.516056359161104,181.8100604022746,179.83155710835481,181.04479667744374
3.5495426102007333,181.83623380264763,179.83589884109455,181.01616726086544
3.5830288612403627,181.8868066717426,179.87170775773566,181.02690130761766
3.616515112279992,181.99950188409957,179.92342910151427,181.08764879412848
3.650001363319622,181.98563493110515,179.90598487260877,181.0599005283708
3.6834876143592514,181.99980933914975,179.89466178636042,181.02653676894892
3.716973865398881,182.0271345170078,179.89072043901413,181.00958744703357
3.7504601164385107,182.13077903680124,179.9214055654972,181.05907673921718
3.78394636747814,182.12942207847541,179.87875831532608,181.0100886731424
3.8174326185177696,182.1280520193591,179.84793223499423,180.96771710421916
3.850918869557399,182.2110765658569,179.8465472201848,180.9367269993514
3.884405120597029,182.1501496037368,179.79131845600966,180.8490999663773
3.9178913716366583,182.10929876410924,179.75777211154568,180.8136275219852
3.951377622676288,182.0806423061425,179.73193913194226,180.7397121156127
3.984863873715917,182.13014416908348,179.74761171665725,180.75432062565918
4.018350124755547,182.11290233134986,179.79372112655534,180.54100700091743
4.051836375795177,182.02925665967558,179.789614446477,180.47593692326504
4.085322626834806,182.01578311509007,179.81658985909542,180.48936658206685
4.118808877874436,182.04830984752417,179.81879718361085,180.52478529213
4.152295128914065,182.11958097400455,179.8671006910402,180.58470079569818
4.185781379953695,182.0812934584688,179.84182877549986,180.5487790215138
4.219267630993325,182.15385553066454,179.85324029597786,180.57610817198508
4.252753882032954,182.24968847125538,179.89106134789284,180.63019559527046
