Date/Time,999 [°C],
9/6/2025 2:47:08 P.M.,-11.3,
9/6/2025 2:47:09 P.M.,-11.5,
9/6/2025 2:47:10 P.M.,-11.8,
9/6/2025 2:47:11 P.M.,-12.1,
9/6/2025 2:47:12 P.M.,-12.3,
9/6/2025 2:47:13 P.M.,-12.7,
9/6/2025 2:47:14 P.M.,-12.9,
9/6/2025 2:47:15 P.M.,-13.2,
9/6/2025 2:47:16 P.M.,-13.4,
9/6/2025 2:47:17 P.M.,-13.6,
9/6/2025 2:47:18 P.M.,-13.7,
9/6/2025 2:47:19 P.M.,-14.0,
9/6/2025 2:47:20 P.M.,-14.3,
9/6/2025 2:47:21 P.M.,-14.5,
9/6/2025 2:47:22 P.M.,-14.8,
9/6/2025 2:47:23 P.M.,-15.2,
9/6/2025 2:47:24 P.M.,-15.4,
9/6/2025 2:47:25 P.M.,-15.7,
9/6/2025 2:47:26 P.M.,-15.8,
9/6/2025 2:47:27 P.M.,-16.1,
9/6/2025 2:47:28 P.M.,-16.3,
9/6/2025 2:47:29 P.M.,-16.5,
9/6/2025 2:47:30 P.M.,-16.8,
9/6/2025 2:47:31 P.M.,-17.0,
9/6/2025 2:47:32 P.M.,-17.1,
9/6/2025 2:47:33 P.M.,-17.3,
9/6/2025 2:47:34 P.M.,-17.5,
9/6/2025 2:47:35 P.M.,-17.6,
9/6/2025 2:47:36 P.M.,-17.8,
9/6/2025 2:47:37 P.M.,-17.9,
9/6/2025 2:47:38 P.M.,-18.1,
9/6/2025 2:47:39 P.M.,-18.3,
9/6/2025 2:47:40 P.M.,-18.5,
9/6/2025 2:47:41 P.M.,-18.6,
9/6/2025 2:47:42 P.M.,-18.7,
9/6/2025 2:47:43 P.M.,-18.7,
9/6/2025 2:47:44 P.M.,-18.7,
9/6/2025 2:47:45 P.M.,-18.7,
9/6/2025 2:47:46 P.M.,-18.8,
9/6/2025 2:47:47 P.M.,-18.8,
9/6/2025 2:47:48 P.M.,-18.7,
9/6/2025 2:47:49 P.M.,-18.7,
9/6/2025 2:47:50 P.M.,-18.7,
9/6/2025 2:47:51 P.M.,-18.7,
9/6/2025 2:47:52 P.M.,-18.6,
9/6/2025 2:47:53 P.M.,-18.6,
9/6/2025 2:47:54 P.M.,-18.5,
9/6/2025 2:47:55 P.M.,-18.5,
9/6/2025 2:47:56 P.M.,-18.4,
9/6/2025 2:47:57 P.M.,-18.3,
9/6/2025 2:47:58 P.M.,-18.3,
9/6/2025 2:47:59 P.M.,-18.2,
9/6/2025 2:48:00 P.M.,-18.1,
9/6/2025 2:48:01 P.M.,-18.0,
9/6/2025 2:48:02 P.M.,-18.0,
9/6/2025 2:48:03 P.M.,-17.9,
9/6/2025 2:48:04 P.M.,-17.9,
9/6/2025 2:48:05 P.M.,-17.8,
9/6/2025 2:48:06 P.M.,-17.7,
9/6/2025 2:48:07 P.M.,-17.6,
9/6/2025 2:48:08 P.M.,-17.5,
9/6/2025 2:48:09 P.M.,-17.4,
9/6/2025 2:48:10 P.M.,-17.4,
9/6/2025 2:48:11 P.M.,-17.3,
9/6/2025 2:48:12 P.M.,-17.2,
9/6/2025 2:48:13 P.M.,-17.1,
9/6/2025 2:48:14 P.M.,-17.0,
9/6/2025 2:48:15 P.M.,-17.0,
9/6/2025 2:48:16 P.M.,-16.9,
9/6/2025 2:48:17 P.M.,-16.8,
9/6/2025 2:48:18 P.M.,-16.7,
9/6/2025 2:48:19 P.M.,-16.7,
9/6/2025 2:48:20 P.M.,-16.6,
9/6/2025 2:48:21 P.M.,-16.5,
9/6/2025 2:48:22 P.M.,-16.3,
9/6/2025 2:48:23 P.M.,-16.1,
9/6/2025 2:48:24 P.M.,-15.8,
9/6/2025 2:48:25 P.M.,-15.5,
9/6/2025 2:48:26 P.M.,-15.1,
9/6/2025 2:48:27 P.M.,-14.7,
9/6/2025 2:48:28 P.M.,-14.4,
9/6/2025 2:48:29 P.M.,-13.9,
9/6/2025 2:48:30 P.M.,-13.4,
9/6/2025 2:48:31 P.M.,-13.0,
9/6/2025 2:48:32 P.M.,-12.6,
9/6/2025 2:48:33 P.M.,-12.0,
9/6/2025 2:48:34 P.M.,-11.8,
9/6/2025 2:48:35 P.M.,-11.3,
9/6/2025 2:48:36 P.M.,-10.9,
9/6/2025 2:48:37 P.M.,-10.7,
9/6/2025 2:48:38 P.M.,-10.3,
9/6/2025 2:48:39 P.M.,-10.0,
9/6/2025 2:48:40 P.M.,-9.7,
9/6/2025 2:48:41 P.M.,-9.1,
9/6/2025 2:48:42 P.M.,-8.9,
9/6/2025 2:48:43 P.M.,-8.4,
9/6/2025 2:48:44 P.M.,-8.1,
9/6/2025 2:48:45 P.M.,-8.0,
9/6/2025 2:48:46 P.M.,-7.7,
9/6/2025 2:48:47 P.M.,-7.4,
9/6/2025 2:48:48 P.M.,-7.1,
9/6/2025 2:48:49 P.M.,-6.8,
9/6/2025 2:48:50 P.M.,-6.4,
9/6/2025 2:48:51 P.M.,-6.1,
9/6/2025 2:48:52 P.M.,-5.7,
9/6/2025 2:48:53 P.M.,-5.4,
9/6/2025 2:48:54 P.M.,-5.2,
9/6/2025 2:48:55 P.M.,-4.9,
9/6/2025 2:48:56 P.M.,-4.6,
9/6/2025 2:48:57 P.M.,-4.3,
9/6/2025 2:48:58 P.M.,-3.9,
9/6/2025 2:48:59 P.M.,-3.6,
9/6/2025 2:49:00 P.M.,-3.0,
9/6/2025 2:49:01 P.M.,-2.7,
9/6/2025 2:49:02 P.M.,-2.3,
9/6/2025 2:49:03 P.M.,-2.2,
9/6/2025 2:49:04 P.M.,-1.9,
9/6/2025 2:49:05 P.M.,-1.6,
9/6/2025 2:49:06 P.M.,-1.3,
9/6/2025 2:49:07 P.M.,-1.0,
9/6/2025 2:49:08 P.M.,-0.7,
9/6/2025 2:49:09 P.M.,-0.3,
9/6/2025 2:49:10 P.M.,-0.2,
9/6/2025 2:49:11 P.M.,0.2,
9/6/2025 2:49:12 P.M.,0.4,
9/6/2025 2:49:13 P.M.,0.7,
9/6/2025 2:49:14 P.M.,1.1,
9/6/2025 2:49:15 P.M.,1.6,
9/6/2025 2:49:16 P.M.,2.0,
9/6/2025 2:49:17 P.M.,2.6,
9/6/2025 2:49:18 P.M.,2.8,
9/6/2025 2:49:19 P.M.,3.4,
9/6/2025 2:49:20 P.M.,3.6,
9/6/2025 2:49:21 P.M.,4.0,
9/6/2025 2:49:22 P.M.,4.4,
9/6/2025 2:49:23 P.M.,4.7,
9/6/2025 2:49:24 P.M.,5.0,
9/6/2025 2:49:25 P.M.,5.4,
9/6/2025 2:49:26 P.M.,5.7,
9/6/2025 2:49:27 P.M.,6.4,
9/6/2025 2:49:28 P.M.,6.9,
9/6/2025 2:49:29 P.M.,7.1,
9/6/2025 2:49:30 P.M.,7.6,
9/6/2025 2:49:31 P.M.,8.1,
9/6/2025 2:49:32 P.M.,8.5,
9/6/2025 2:49:33 P.M.,9.0,
9/6/2025 2:49:34 P.M.,9.5,
9/6/2025 2:49:35 P.M.,9.9,
9/6/2025 2:49:36 P.M.,10.5,
9/6/2025 2:49:37 P.M.,11.2,
